FULL_NAME,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PTS,REB,STL,TOV,FIRST_NAME,LAST_NAME,FULL_NAME_LOWER,FIRST_NAME_LOWER,LAST_NAME_LOWER,IS_ACTIVE 
Dell Curry,119,15,126,194,78,0.39,697,318,0.45,92,78,0.84,68,6,1472,37,112,792,164,62,81,Dell,Curry,dell curry,dell,curry,FALSE
Eddy Curry,26,35,162,0,0,0.18,430,234,0.56,235,151,0.59,48,37,1192,86,142,620,248,14,107,Eddy,Curry,eddy curry,eddy,curry,FALSE
JamesOn Curry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JamesOn,Curry,jameson curry,jameson,curry,FALSE
Michael Curry,64,5,70,24,8,0.23,201,90,0.42,72,59,0.8,55,21,1076,17,124,246,87,27,37,Michael,Curry,michael curry,michael,curry,FALSE
Seth Curry,88,6,75,170,74,0.46,334,160,0.37,47,41,0.57,37,22,970,12,64,434,87,27,44,Seth,Curry,seth curry,seth,curry,TRUE
Stephen Curry,386,13,236,523,224,0.42,1042,493,0.47,253,230,0.91,59,59,2033,40,142,1440,275,98,186,Stephen,Curry,stephen curry,stephen,curry,TRUE
Rastko Cvetkovic,3,0,7,0,0,0,16,5,0.31,4,0,0,14,0,48,4,11,10,11,2,3,Rastko,Cvetkovic,rastko cvetkovic,rastko,cvetkovic,FALSE
Quintin Dailey,119,5,89,13,2,0.11,646,294,0.43,202,158,0.77,53,14,1217,42,123,747,131,50,102,Quintin,Dailey,quintin dailey,quintin,dailey,FALSE
Samuel Dalembert,36,119,358,1,0,0.08,415,216,0.51,130,92,0.69,68,53,1665,176,200,524,534,34,98,Samuel,Dalembert,samuel dalembert,samuel,dalembert,FALSE
Erick Dampier,51,87,268,0,0,0.08,350,174,0.49,174,109,0.57,62,48,1500,170,179,457,438,21,90,Erick,Dampier,erick dampier,erick,dampier,FALSE
Antonio Daniels,207,6,98,81,25,0.3,356,158,0.44,152,120,0.8,63,15,1380,15,65,462,113,39,66,Antonio,Daniels,antonio daniels,antonio,daniels,FALSE
Dyson Daniels,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Dyson,Daniels,dyson daniels,dyson,daniels,TRUE
Erik Daniels,4,0,11,2,0,0.5,18,6,0.33,0,0,0,21,0,72,7,7,13,18,2,6,Erik,Daniels,erik daniels,erik,daniels,FALSE
Lloyd Daniels,42,8,35,72,22,0.27,189,74,0.34,27,20,0.73,28,5,495,26,42,191,61,15,28,Lloyd,Daniels,lloyd daniels,lloyd,daniels,FALSE
Marquis Daniels,97,14,103,44,10,0.21,393,177,0.45,93,67,0.71,55,15,1170,52,88,432,155,51,64,Marquis,Daniels,marquis daniels,marquis,daniels,FALSE
Troy Daniels,19,2,36,138,54,0.38,189,75,0.4,17,14,0.64,36,2,498,8,42,217,44,10,18,Troy,Daniels,troy daniels,troy,daniels,FALSE
Sasha Danilovic,63,5,62,138,51,0.38,331,145,0.44,94,74,0.8,33,26,1030,18,92,415,80,31,67,Sasha,Danilovic,sasha danilovic,sasha,danilovic,FALSE
Yinka Dare,0,18,45,0,0,0,54,22,0.25,27,15,0.41,28,6,251,25,45,58,70,3,24,Yinka,Dare,yinka dare,yinka,dare,FALSE
Nate Darling,0,0,0,7,2,0.29,7,2,0.29,3,3,0,7,0,26,0,0,9,0,0,0,Nate,Darling,nate darling,nate,darling,TRUE
Gigi Datome,7,4,21,30,11,0.34,69,30,0.44,3,2,0.7,19,1,164,5,12,73,26,2,7,Gigi,Datome,gigi datome,gigi,datome,FALSE
Brad Daugherty,254,50,502,2,0,0.1,899,478,0.53,459,343,0.75,68,68,2504,151,183,1299,653,53,189,Brad,Daugherty,brad daugherty,brad,daugherty,FALSE
Kornel David,13,4,41,0,0,0,94,42,0.46,36,29,0.72,24,2,324,22,37,113,63,10,19,Kornel,David,kornel david,kornel,david,FALSE
Jermareo Davidson,7,9,32,0,0,0,80,34,0.45,22,13,0.56,26,0,216,16,29,81,48,4,11,Jermareo,Davidson,jermareo davidson,jermareo,davidson,FALSE
Brandon Davies,22,6,40,20,4,0.23,100,41,0.39,32,20,0.67,26,3,355,28,52,107,69,15,23,Brandon,Davies,brandon davies,brandon,davies,FALSE
Anthony Davis,129,129,424,89,27,0.23,954,491,0.51,385,306,0.78,55,55,1901,139,130,1315,562,76,108,Anthony,Davis,anthony davis,anthony,davis,TRUE
Antonio Davis,69,57,295,1,0,0.03,469,208,0.44,234,170,0.7,60,38,1741,154,170,586,449,29,89,Antonio,Davis,antonio davis,antonio,davis,FALSE
Baron Davis,399,24,158,280,90,0.32,788,322,0.4,216,154,0.72,55,45,1872,49,155,888,207,99,152,Baron,Davis,baron davis,baron,davis,FALSE
Ben Davis,1,1,6,0,0,0,15,5,0.33,6,3,0.24,10,0,39,8,6,14,13,2,2,Ben,Davis,ben davis,ben,davis,FALSE
Brian Davis,22,4,34,3,0,0.33,126,40,0.32,68,50,0.73,68,3,374,21,34,131,55,16,19,Brian,Davis,brian davis,brian,davis,FALSE
Charlie Davis,32,7,62,12,2,0.11,219,98,0.41,35,26,0.69,41,3,504,38,65,223,100,13,34,Charlie,Davis,charlie davis,charlie,davis,FALSE
Dale Davis,57,74,307,0,0,0,390,206,0.51,156,88,0.58,64,50,1717,192,169,499,499,40,63,Dale,Davis,dale davis,dale,davis,FALSE
Deyonta Davis,16,20,80,0,0,0,111,67,0.6,28,18,0.61,36,2,433,35,59,151,115,7,14,Deyonta,Davis,deyonta davis,deyonta,davis,FALSE
Ed Davis,43,46,238,0,0,0,258,145,0.55,103,61,0.59,57,10,1099,124,139,351,363,28,42,Ed,Davis,ed davis,ed,davis,FALSE
Emanual Davis,66,5,60,74,26,0.35,170,67,0.4,30,23,0.77,38,10,656,13,57,183,73,28,44,Emanual,Davis,emanual davis,emanual,davis,FALSE
Glen Davis,53,20,175,7,1,0.14,420,188,0.45,138,97,0.7,58,16,1253,84,140,475,259,42,60,Glen,Davis,glen davis,glen,davis,FALSE
Hubert Davis,80,3,60,114,50,0.34,315,144,0.38,52,43,0.8,48,10,1057,15,72,382,74,21,46,Hubert,Davis,hubert davis,hubert,davis,FALSE
Josh Davis,3,1,10,10,3,0.1,22,8,0.29,5,3,0.52,10,1,73,7,10,23,17,3,3,Josh,Davis,josh davis,josh,davis,FALSE
Mark Davis,59,15,81,23,6,0.11,214,95,0.41,88,57,0.69,46,7,737,58,96,252,139,40,65,Mark,Davis,mark davis,mark,davis,FALSE
Mark Davis,9,3,14,7,1,0.07,68,33,0.39,23,19,0.88,22,0,172,11,26,85,25,9,8,Mark,Davis,mark davis,mark,davis,FALSE
Michael Davis,0,4,7,0,0,0,10,4,0.4,10,6,0.6,8,0,28,3,4,14,10,0,0,Michael,Davis,michael davis,michael,davis,FALSE
Paul Davis,8,4,21,0,0,0,55,22,0.42,14,10,0.65,20,1,176,18,26,54,40,6,8,Paul,Davis,paul davis,paul,davis,FALSE
Ricky Davis,192,14,159,125,44,0.36,666,299,0.44,185,144,0.77,56,28,1725,44,112,786,204,57,126,Ricky,Davis,ricky davis,ricky,davis,FALSE
Terence Davis,54,9,91,156,57,0.36,272,119,0.44,36,30,0.83,38,4,658,17,66,325,108,26,39,Terence,Davis,terence davis,terence,davis,TRUE
Terry Davis,27,15,178,2,0,0.07,254,120,0.47,108,65,0.6,48,28,1037,111,118,306,289,18,52,Terry,Davis,terry davis,terry,davis,FALSE
Tyler Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tyler,Davis,tyler davis,tyler,davis,FALSE
Andre Dawkins,0,0,2,6,0,0.17,6,0,0.17,0,0,0,4,0,22,0,3,3,2,0,0,Andre,Dawkins,andre dawkins,andre,dawkins,FALSE
Johnny Dawkins,333,3,111,61,20,0.28,575,262,0.47,140,120,0.87,60,34,1651,37,93,665,148,69,123,Johnny,Dawkins,johnny dawkins,johnny,dawkins,FALSE
Branden Dawson,0,0,2,0,0,0,5,2,0.4,0,0,0,6,0,29,2,2,5,4,0,0,Branden,Dawson,branden dawson,branden,dawson,FALSE
Eric Dawson,0,2,5,0,0,0,12,7,0.58,2,0,0.5,4,0,39,5,6,15,10,0,3,Eric,Dawson,eric dawson,eric,dawson,FALSE
Tony Dawson,1,0,2,2,0,0.67,8,4,0.47,1,1,0.5,3,0,15,0,2,8,2,0,2,Tony,Dawson,tony dawson,tony,dawson,FALSE
Todd Day,82,34,122,195,67,0.31,583,234,0.38,201,150,0.75,56,21,1402,65,157,684,187,61,83,Todd,Day,todd day,todd,day,FALSE
Austin Daye,23,12,68,62,22,0.33,152,61,0.38,26,20,0.74,34,3,442,14,52,164,82,12,22,Austin,Daye,austin daye,austin,daye,FALSE
Darren Daye,107,9,87,2,0,0.07,276,136,0.42,119,80,0.55,56,3,848,51,101,352,138,31,69,Darren,Daye,darren daye,darren,daye,FALSE
Nando De Colo,67,4,58,47,17,0.35,137,58,0.42,28,24,0.87,42,3,477,13,46,158,71,21,38,Nando,De Colo,nando de colo,nando,de colo,FALSE
Andrew DeClercq,31,28,134,0,0,0,207,105,0.5,89,56,0.61,53,24,912,94,162,266,229,37,50,Andrew,DeClercq,andrew declercq,andrew,declercq,FALSE
Javin DeLaurier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Javin,DeLaurier,javin delaurier,javin,delaurier,FALSE
DeMar DeRozan,268,20,253,102,29,0.27,1101,512,0.47,445,373,0.83,69,68,2352,51,155,1427,303,67,142,DeMar,DeRozan,demar derozan,demar,derozan,TRUE
Gabriel Deck,14,0,14,10,2,0.32,40,20,0.52,11,9,0.41,8,0,134,8,6,51,23,4,4,Gabriel,Deck,gabriel deck,gabriel,deck,FALSE
Dewayne Dedmon,24,30,158,42,13,0.16,176,90,0.49,46,34,0.67,37,16,645,57,95,228,215,19,37,Dewayne,Dedmon,dewayne dedmon,dewayne,dedmon,TRUE
Terry Dehere,133,5,58,113,43,0.36,340,139,0.39,120,94,0.67,54,8,949,19,108,415,76,28,79,Terry,Dehere,terry dehere,terry,dehere,FALSE
Bryce Dejean-Jones,15,2,40,32,12,0.38,69,28,0.41,21,11,0.52,14,11,279,8,17,79,48,10,11,Bryce,Dejean-Jones,bryce dejean-jones,bryce,dejean-jones,FALSE
Sam Dekker,29,6,73,53,15,0.21,171,82,0.34,31,19,0.46,35,2,555,35,35,197,108,20,17,Sam,Dekker,sam dekker,sam,dekker,FALSE
Vinny Del Negro,186,5,114,49,17,0.26,448,212,0.45,94,79,0.8,60,26,1437,21,110,521,135,43,61,Vinny,Del Negro,vinny del negro,vinny,del negro,FALSE
Malcolm Delaney,178,4,102,117,36,0.3,336,127,0.38,92,74,0.81,64,2,1131,10,97,364,112,37,80,Malcolm,Delaney,malcolm delaney,malcolm,delaney,FALSE
Bison Dele,55,44,214,2,0,0.06,437,231,0.52,152,105,0.7,52,26,1250,107,162,567,320,40,103,Bison,Dele,bison dele,bison,dele,FALSE
Carlos Delfino,111,11,191,232,85,0.35,459,184,0.4,81,62,0.75,63,21,1448,36,103,514,227,58,64,Carlos,Delfino,carlos delfino,carlos,delfino,FALSE
Angel Delgado,0,0,2,0,0,0,5,0,0.2,2,0,0.5,2,0,15,2,2,3,4,0,0,Angel,Delgado,angel delgado,angel,delgado,FALSE
Tony Delk,85,6,82,112,38,0.35,384,155,0.4,77,59,0.77,44,8,951,29,68,407,111,37,48,Tony,Delk,tony delk,tony,delk,FALSE
Matthew Dellavedova,183,2,70,123,44,0.34,252,98,0.37,42,35,0.87,50,9,989,17,92,274,88,22,62,Matthew,Dellavedova,matthew dellavedova,matthew,dellavedova,TRUE
Fennis Dembo,5,0,15,4,0,0,42,14,0.33,10,8,0.8,31,0,74,8,15,36,23,0,7,Fennis,Dembo,fennis dembo,fennis,dembo,FALSE
Dell Demps,3,0,2,0,0,0.17,14,7,0.3,7,5,0.61,7,0,36,1,4,20,3,2,4,Dell,Demps,dell demps,dell,demps,FALSE
Luol Deng,131,27,251,128,42,0.3,713,324,0.45,203,156,0.72,57,52,1950,92,95,845,343,55,93,Luol,Deng,luol deng,luol,deng,FALSE
Justin Dentmon,5,0,4,7,0,0.09,14,5,0.26,3,2,0.33,4,0,46,0,5,13,4,0,4,Justin,Dentmon,justin dentmon,justin,dentmon,FALSE
Marcus Derrickson,0,0,5,20,10,0.5,33,16,0.48,5,4,0.8,11,0,67,8,9,46,13,0,3,Marcus,Derrickson,marcus derrickson,marcus,derrickson,FALSE
Donte DiVincenzo,90,8,123,160,55,0.33,274,111,0.4,48,38,0.78,35,13,828,35,58,315,158,38,50,Donte,DiVincenzo,donte divincenzo,donte,divincenzo,TRUE
Mamadi Diakite,5,7,34,6,1,0.06,44,20,0.47,12,8,0.67,14,2,164,12,24,50,46,6,5,Mamadi,Diakite,mamadi diakite,mamadi,diakite,TRUE
Derrick Dial,16,2,22,9,2,0.17,66,24,0.37,14,10,0.7,19,0,164,10,11,59,32,5,8,Derrick,Dial,derrick dial,derrick,dial,FALSE
Cheick Diallo,16,15,116,1,0,0.12,135,80,0.54,40,31,0.78,37,1,437,36,55,192,152,11,23,Cheick,Diallo,cheick diallo,cheick,diallo,FALSE
Hamidou Diallo,47,12,117,48,14,0.25,277,131,0.43,96,60,0.58,37,8,740,39,85,337,156,30,41,Hamidou,Diallo,hamidou diallo,hamidou,diallo,TRUE
Boris Diaw,235,33,217,94,32,0.34,497,245,0.49,92,65,0.7,67,37,1831,80,144,588,297,41,124,Boris,Diaw,boris diaw,boris,diaw,FALSE
Yakhouba Diawara,30,4,45,101,30,0.27,163,58,0.33,26,17,0.47,47,14,654,19,69,164,64,13,18,Yakhouba,Diawara,yakhouba diawara,yakhouba,diawara,FALSE
Guillermo Diaz,0,0,0,0,0,0,4,0,0.25,5,3,0.6,6,0,18,2,0,5,2,0,0,Guillermo,Diaz,guillermo diaz,guillermo,diaz,FALSE
Dan Dickau,114,2,50,80,27,0.35,237,95,0.36,66,55,0.81,41,10,700,12,76,273,61,26,50,Dan,Dickau,dan dickau,dan,dickau,FALSE
Kaniel Dickens,1,1,2,3,0,0.11,7,3,0.54,1,0,0.5,6,0,28,2,3,7,4,1,0,Kaniel,Dickens,kaniel dickens,kaniel,dickens,FALSE
Michael Dickerson,111,17,86,143,58,0.39,565,244,0.41,135,106,0.81,42,41,1499,36,110,651,122,43,81,Michael,Dickerson,michael dickerson,michael,dickerson,FALSE
Travis Diener,63,1,30,67,24,0.26,111,43,0.32,16,14,0.58,27,3,387,6,29,123,35,11,14,Travis,Diener,travis diener,travis,diener,FALSE
Gorgui Dieng,65,44,198,50,19,0.38,280,139,0.49,94,75,0.73,50,16,996,82,105,371,280,39,53,Gorgui,Dieng,gorgui dieng,gorgui,dieng,TRUE
Ousmane Dieng,3,2,6,5,0,0.2,11,2,0.18,0,0,0,3,0,40,0,2,5,7,0,0,Ousmane,Dieng,ousmane dieng,ousmane,dieng,TRUE
Mickey Dillard,34,2,9,4,0,0,79,29,0.37,23,15,0.65,33,0,221,6,40,73,15,8,17,Mickey,Dillard,mickey dillard,mickey,dillard,FALSE
Byron Dinkins,28,1,13,2,0,0.03,44,18,0.55,12,10,0.66,14,0,165,3,15,47,16,6,16,Byron,Dinkins,byron dinkins,byron,dinkins,FALSE
Spencer Dinwiddie,208,11,112,187,61,0.32,429,177,0.41,164,129,0.73,41,22,1113,20,96,545,132,28,71,Spencer,Dinwiddie,spencer dinwiddie,spencer,dinwiddie,TRUE
Ike Diogu,10,9,57,0,0,0.1,130,65,0.45,66,52,0.8,31,2,377,38,57,183,95,5,28,Ike,Diogu,ike diogu,ike,diogu,FALSE
DeSagana Diop,21,48,111,0,0,0.03,96,42,0.42,32,15,0.35,47,7,671,69,93,99,180,18,28,DeSagana,Diop,desagana diop,desagana,diop,FALSE
Vlade Divac,221,102,403,27,6,0.21,657,325,0.49,261,180,0.69,71,61,2115,180,226,837,583,80,154,Vlade,Divac,vlade divac,vlade,divac,FALSE
Juan Dixon,90,4,77,115,40,0.36,396,164,0.41,73,61,0.82,52,8,1009,18,88,429,95,40,64,Juan,Dixon,juan dixon,juan,dixon,FALSE
Aleksandar Djordjevic,5,0,4,7,5,0.71,16,8,0.5,5,4,0.8,8,0,62,0,3,25,5,0,5,Aleksandar,Djordjevic,aleksandar djordjevic,aleksandar,djordjevic,FALSE
Michael Doleac,32,20,129,1,0,0.04,263,116,0.44,45,36,0.78,55,7,818,56,121,267,185,19,35,Michael,Doleac,michael doleac,michael,doleac,FALSE
James Donaldson,50,81,347,0,0,0,341,193,0.54,170,125,0.74,61,43,1666,129,129,511,476,21,90,James,Donaldson,james donaldson,james,donaldson,FALSE
Luka Doncic,424,23,399,438,148,0.33,1048,479,0.46,405,299,0.78,53,53,1799,55,118,1406,454,56,217,Luka,Doncic,luka doncic,luka,doncic,TRUE
Billy Donovan,87,0,20,7,0,0,109,44,0.4,21,17,0.81,44,0,364,5,33,105,25,16,42,Billy,Donovan,billy donovan,billy,donovan,FALSE
Keyon Dooling,123,6,64,98,34,0.33,335,139,0.42,96,77,0.8,56,7,1087,10,94,390,74,36,62,Keyon,Dooling,keyon dooling,keyon,dooling,FALSE
Joey Dorsey,10,8,57,0,0,0,48,25,0.49,29,11,0.35,24,4,266,36,46,61,93,12,15,Joey,Dorsey,joey dorsey,joey,dorsey,FALSE
Tyler Dorsey,38,2,57,93,32,0.46,183,72,0.51,37,24,0.52,31,5,475,14,34,201,72,9,18,Tyler,Dorsey,tyler dorsey,tyler,dorsey,TRUE
Luguentz Dort,53,10,98,210,69,0.29,406,160,0.37,106,85,0.8,36,34,1030,27,97,473,124,32,48,Luguentz,Dort,luguentz dort,luguentz,dort,TRUE
Ayo Dosunmu,134,15,102,102,40,0.44,288,150,0.52,39,26,0.34,40,22,1120,15,96,365,118,32,56,Ayo,Dosunmu,ayo dosunmu,ayo,dosunmu,TRUE
Damyean Dotson,63,4,95,147,51,0.27,289,121,0.44,38,27,0.55,43,10,848,12,51,319,106,22,30,Damyean,Dotson,damyean dotson,damyean,dotson,FALSE
Devon Dotson,11,0,6,8,2,0.18,22,11,0.5,4,2,0.28,11,0,68,2,7,26,7,2,2,Devon,Dotson,devon dotson,devon,dotson,TRUE
Quincy Douby,24,5,29,53,16,0.32,136,53,0.41,21,19,0.85,34,0,367,8,31,141,37,11,20,Quincy,Douby,quincy douby,quincy,douby,FALSE
Bruce Douglas,17,0,9,0,0,0,24,7,0.29,4,0,0,8,0,98,5,9,14,14,9,9,Bruce,Douglas,bruce douglas,bruce,douglas,FALSE
John Douglas,74,4,32,30,10,0.4,198,91,0.32,52,34,0.83,34,5,522,14,74,226,46,24,46,John,Douglas,john douglas,john,douglas,FALSE
Sherman Douglas,322,6,81,44,12,0.2,489,237,0.48,168,115,0.69,55,34,1514,39,116,601,120,55,126,Sherman,Douglas,sherman douglas,sherman,douglas,FALSE
Toney Douglas,92,3,70,131,46,0.32,280,113,0.39,48,40,0.8,43,7,790,22,83,312,92,37,44,Toney,Douglas,toney douglas,toney,douglas,FALSE
Chris Douglas-Roberts,42,9,65,42,14,0.23,218,96,0.39,68,56,0.83,37,10,730,14,48,262,79,21,33,Chris,Douglas-Roberts,chris douglas-roberts,chris,douglas-roberts,FALSE
Sekou Doumbouya,22,6,69,72,18,0.34,175,68,0.46,38,26,0.71,32,10,546,20,58,181,89,16,27,Sekou,Doumbouya,sekou doumbouya,sekou,doumbouya,FALSE
Zabian Dowdell,51,2,15,10,3,0.3,125,51,0.41,17,16,0.94,24,0,292,5,30,121,20,20,29,Zabian,Dowdell,zabian dowdell,zabian,dowdell,FALSE
Jeff Dowtin,5,1,5,4,1,0.06,13,4,0.27,0,0,0.5,4,0,54,4,2,10,9,2,2,Jeff,Dowtin,jeff dowtin,jeff,dowtin,TRUE
Milton Doyle,10,2,15,23,4,0.17,47,13,0.28,8,4,0.5,10,0,125,3,13,34,18,6,2,Milton,Doyle,milton doyle,milton,doyle,FALSE
P.J. Dozier,38,7,51,51,16,0.24,127,52,0.42,22,15,0.53,21,1,379,13,33,134,64,12,17,P.J.,Dozier,p.j. dozier,p.j.,dozier,TRUE
Terry Dozier,3,2,8,0,0,0,27,9,0.33,8,4,0.5,9,0,92,7,10,22,15,6,7,Terry,Dozier,terry dozier,terry,dozier,FALSE
Goran Dragic,234,9,117,168,60,0.36,539,249,0.44,154,118,0.75,51,30,1389,36,116,676,153,48,111,Goran,Dragic,goran dragic,goran,dragic,TRUE
Zoran Dragic,3,0,2,9,2,0.18,20,7,0.34,3,2,0.59,11,1,50,3,4,19,5,1,3,Zoran,Dragic,zoran dragic,zoran,dragic,FALSE
Greg Dreiling,19,14,73,1,0,0.3,80,38,0.45,40,26,0.66,47,9,424,29,92,101,102,8,25,Greg,Dreiling,greg dreiling,greg,dreiling,FALSE
Bryce Drew,87,2,40,67,25,0.34,183,70,0.35,19,16,0.73,40,8,661,9,48,180,49,20,35,Bryce,Drew,bryce drew,bryce,drew,FALSE
Larry Drew,370,4,101,40,12,0.28,708,331,0.46,172,138,0.79,71,36,1837,26,129,811,126,79,156,Larry,Drew,larry drew,larry,drew,FALSE
Larry Drew II,16,0,4,11,2,0.25,26,8,0.28,1,1,0.17,8,0,90,2,6,20,5,2,8,Larry,Drew II,larry drew ii,larry,drew ii,FALSE
Clyde Drexler,382,45,258,177,57,0.29,1112,524,0.47,377,298,0.79,68,60,2369,163,205,1403,421,138,186,Clyde,Drexler,clyde drexler,clyde,drexler,FALSE
Nate Driggers,6,2,10,9,0,0,43,13,0.3,14,10,0.71,15,0,133,12,10,36,22,3,6,Nate,Driggers,nate driggers,nate,driggers,FALSE
Predrag Drobnjak,56,29,165,48,16,0.25,531,226,0.43,98,79,0.8,70,24,1386,78,128,547,243,33,60,Predrag,Drobnjak,predrag drobnjak,predrag,drobnjak,FALSE
Andre Drummond,81,75,455,10,1,0.1,563,303,0.54,231,113,0.53,53,45,1523,230,165,720,685,72,110,Andre,Drummond,andre drummond,andre,drummond,TRUE
Chris Duarte,59,6,95,134,48,0.3,326,139,0.37,58,47,0.9,30,20,808,22,50,374,117,28,47,Chris,Duarte,chris duarte,chris,duarte,TRUE
Kevin Duckworth,48,26,209,2,0,0.07,549,257,0.44,183,134,0.69,58,41,1410,111,184,649,321,27,101,Kevin,Duckworth,kevin duckworth,kevin,duckworth,FALSE
Chris Dudley,23,61,193,0,0,0,208,85,0.38,94,42,0.42,53,20,982,134,138,212,327,21,46,Chris,Dudley,chris dudley,chris,dudley,FALSE
Jared Dudley,91,11,135,145,57,0.38,343,159,0.44,86,63,0.69,61,18,1330,55,109,438,191,48,50,Jared,Dudley,jared dudley,jared,dudley,FALSE
Chris Duhon,299,4,129,199,72,0.35,382,150,0.39,84,66,0.72,67,35,1725,22,107,438,152,52,103,Chris,Duhon,chris duhon,chris,duhon,FALSE
Duje Dukan,0,0,2,5,2,0.4,10,2,0.2,0,0,0,0,0,24,2,2,6,4,0,0,Duje,Dukan,duje dukan,duje,dukan,FALSE
David Duke Jr.,17,7,37,37,9,0.24,108,39,0.36,21,17,0.81,22,7,341,30,36,104,67,14,9,David,Duke Jr.,david duke jr.,david,duke jr.,TRUE
Joe Dumars,329,6,109,185,71,0.37,930,428,0.46,290,245,0.84,73,67,2510,48,130,1172,157,64,149,Joe,Dumars,joe dumars,joe,dumars,FALSE
Richard Dumas,37,16,64,4,0,0.19,284,145,0.5,100,70,0.64,34,16,742,53,76,360,117,46,50,Richard,Dumas,richard dumas,richard,dumas,FALSE
Tony Dumas,35,4,20,57,18,0.28,185,74,0.39,64,39,0.51,30,2,417,16,50,204,36,12,27,Tony,Dumas,tony dumas,tony,dumas,FALSE
Tim Duncan,222,159,591,9,2,0.14,1070,541,0.5,446,310,0.7,73,73,2493,203,174,1395,794,54,178,Tim,Duncan,tim duncan,tim,duncan,FALSE
Mike Dunleavy,130,19,208,201,75,0.37,526,232,0.44,139,112,0.8,59,33,1619,42,119,651,250,43,81,Mike,Dunleavy,mike dunleavy,mike,dunleavy,FALSE
Kris Dunn,172,18,119,71,21,0.22,324,136,0.36,53,39,0.76,41,22,983,16,121,332,136,63,74,Kris,Dunn,kris dunn,kris,dunn,FALSE
Ronald Dupree,13,4,29,2,1,0.12,64,27,0.33,26,14,0.49,20,0,222,15,32,70,43,7,11,Ronald,Dupree,ronald dupree,ronald,dupree,FALSE
Kevin Durant,270,70,400,309,118,0.38,1176,583,0.5,479,423,0.88,63,63,2308,44,121,1708,444,68,198,Kevin,Durant,kevin durant,kevin,durant,TRUE
Jalen Duren,0,5,13,0,0,0,24,14,0.58,5,0,0,3,0,63,10,4,28,23,0,4,Jalen,Duren,jalen duren,jalen,duren,TRUE
Pat Durham,28,16,33,13,2,0.1,131,62,0.37,54,36,0.7,32,2,465,21,60,162,54,18,26,Pat,Durham,pat durham,pat,durham,FALSE
Devin Durrant,42,5,40,2,0,0,148,61,0.4,53,36,0.48,32,4,404,26,58,158,66,11,40,Devin,Durrant,devin durrant,devin,durrant,FALSE
Trevon Duval,2,0,0,0,0,0,3,2,0.67,0,0,0,3,0,6,0,0,5,0,0,0,Trevon,Duval,trevon duval,trevon,duval,FALSE
Craig Dykema,15,0,9,4,2,0.5,37,17,0.46,9,7,0.78,32,0,103,3,19,43,12,2,7,Craig,Dykema,craig dykema,craig,dykema,FALSE
Jerome Dyson,18,2,17,8,0,0.12,48,19,0.4,36,28,0.78,9,0,180,2,19,67,19,11,20,Jerome,Dyson,jerome dyson,jerome,dyson,FALSE
Ledell Eackles,106,4,88,58,20,0.31,582,259,0.44,191,147,0.78,63,13,1274,52,113,683,140,36,86,Ledell,Eackles,ledell eackles,ledell,eackles,FALSE
Acie Earl,14,26,65,2,0,0,179,71,0.38,78,52,0.64,40,3,502,38,69,195,102,13,34,Acie,Earl,acie earl,acie,earl,FALSE
Cleanthony Early,21,8,48,50,13,0.26,127,44,0.33,26,20,0.75,28,4,400,13,36,120,62,13,24,Cleanthony,Early,cleanthony early,cleanthony,early,FALSE
Tari Eason,2,4,16,8,4,0.5,33,14,0.42,5,4,0.8,4,0,72,9,8,36,25,4,2,Tari,Eason,tari eason,tari,eason,TRUE
Mark Eaton,76,279,462,0,0,0,411,188,0.47,150,97,0.65,80,74,2288,169,269,474,631,33,118,Mark,Eaton,mark eaton,mark,eaton,FALSE
Jerry Eaves,104,2,36,4,0,0.03,220,104,0.39,97,75,0.83,42,2,671,16,54,283,52,21,63,Jerry,Eaves,jerry eaves,jerry,eaves,FALSE
Devin Ebanks,8,4,24,12,3,0.22,71,27,0.39,24,17,0.74,21,5,237,17,19,75,41,6,12,Devin,Ebanks,devin ebanks,devin,ebanks,FALSE
Ndudi Ebi,2,2,6,1,0,0,18,8,0.48,6,3,0.4,10,0,43,4,6,20,10,1,3,Ndudi,Ebi,ndudi ebi,ndudi,ebi,FALSE
Jaime Echenique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Jaime,Echenique,jaime echenique,jaime,echenique,FALSE
Jarell Eddie,0,0,6,13,4,0.11,18,5,0.12,3,3,0.38,7,0,45,1,1,17,6,2,0,Jarell,Eddie,jarell eddie,jarell,eddie,FALSE
Patrick Eddie,0,0,0,0,0,0,9,2,0.22,0,0,0,4,0,13,0,3,4,0,0,0,Patrick,Eddie,patrick eddie,patrick,eddie,FALSE
Keith Edmonson,22,5,26,1,0,0,195,91,0.45,70,51,0.7,36,1,388,28,52,233,54,16,36,Keith,Edmonson,keith edmonson,keith,edmonson,FALSE
