FULL_NAME,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PTS,REB,STL,TOV,FIRST_NAME,LAST_NAME,FULL_NAME_LOWER,FIRST_NAME_LOWER,LAST_NAME_LOWER,IS_ACTIVE
Jeff Adrien,20,16,92,0,0,0,119,58,0.47,58,37,0.6,29,4,444,46,52,153,138,11,19,Jeff,Adrien,jeff adrien,jeff,adrien,FALSE
Arron Afflalo,117,11,159,195,75,0.37,578,258,0.44,144,119,0.83,65,47,1795,28,127,710,186,29,74,Arron,Afflalo,arron afflalo,arron,afflalo,FALSE
Ochai Agbaji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ochai,Agbaji,ochai agbaji,ochai,agbaji,TRUE
Maurice Ager,4,1,8,10,2,0.25,42,14,0.36,11,6,0.43,18,1,112,2,14,37,10,0,6,Maurice,Ager,maurice ager,maurice,ager,FALSE
Mark Aguirre,210,22,208,95,30,0.31,1076,519,0.48,356,263,0.73,67,48,2022,123,189,1331,331,49,168,Mark,Aguirre,mark aguirre,mark,aguirre,FALSE
Blake Ahearn,7,0,7,16,5,0.34,26,7,0.29,11,11,0.66,6,0,75,0,9,29,7,2,7,Blake,Ahearn,blake ahearn,blake,ahearn,FALSE
Danny Ainge,288,9,141,185,70,0.35,685,320,0.46,139,118,0.84,70,35,1883,48,171,828,189,77,107,Danny,Ainge,danny ainge,danny,ainge,FALSE
Alexis Ajinca,17,22,96,8,3,0.12,157,78,0.47,37,29,0.67,36,9,472,40,82,188,136,13,30,Alexis,Ajinca,alexis ajinca,alexis,ajinca,FALSE
Josh Akognon,0,0,0,2,0,0.5,4,2,0.5,0,0,0,3,0,9,0,3,5,0,0,0,Josh,Akognon,josh akognon,josh,akognon,FALSE
DeVaughn Akoon-Purcell,6,0,3,4,0,0,10,3,0.3,2,0,0.5,7,0,22,0,4,7,4,2,2,DeVaughn,Akoon-Purcell,devaughn akoon-purcell,devaughn,akoon-purcell,FALSE
Solomon Alabi,2,6,20,0,0,0,26,8,0.28,5,4,0.44,13,0,90,11,8,20,30,2,4,Solomon,Alabi,solomon alabi,solomon,alabi,FALSE
Mark Alarie,73,22,136,27,7,0.25,437,207,0.47,84,65,0.78,65,8,1100,88,142,486,224,26,62,Mark,Alarie,mark alarie,mark,alarie,FALSE
Santi Aldama,12,8,37,33,6,0.23,84,36,0.44,22,14,0.69,18,2,242,22,22,92,58,4,10,Santi,Aldama,santi aldama,santi,aldama,TRUE
Furkan Aldemir,28,16,98,5,0,0,78,40,0.51,27,13,0.48,41,9,540,78,96,93,176,17,17,Furkan,Aldemir,furkan aldemir,furkan,aldemir,FALSE
Cole Aldrich,19,26,89,0,0,0,90,48,0.52,26,19,0.66,38,2,378,36,57,115,125,14,22,Cole,Aldrich,cole aldrich,cole,aldrich,FALSE
LaMarcus Aldridge,118,68,337,44,14,0.27,954,470,0.49,256,208,0.83,61,57,2051,155,147,1162,492,43,93,LaMarcus,Aldridge,lamarcus aldridge,lamarcus,aldridge,FALSE
Chuck Aleksinas,36,15,183,0,0,0,337,161,0.48,75,55,0.73,74,4,1114,87,171,377,270,15,72,Chuck,Aleksinas,chuck aleksinas,chuck,aleksinas,FALSE
Cliff Alexander,0,2,4,0,0,0,10,5,0.5,0,0,0,8,0,36,2,0,10,6,0,0,Cliff,Alexander,cliff alexander,cliff,alexander,FALSE
Cory Alexander,116,5,59,94,34,0.34,212,84,0.38,50,38,0.75,41,6,682,11,68,241,70,37,64,Cory,Alexander,cory alexander,cory,alexander,FALSE
Courtney Alexander,58,5,77,33,12,0.33,425,179,0.41,113,92,0.81,50,17,908,33,103,462,110,31,56,Courtney,Alexander,courtney alexander,courtney,alexander,FALSE
Gary Alexander,1,0,5,0,0,0,9,5,0.55,6,2,0.25,7,0,37,5,7,13,10,2,5,Gary,Alexander,gary alexander,gary,alexander,FALSE
Joe Alexander,22,15,37,24,8,0.17,126,52,0.29,43,30,0.68,34,0,372,23,58,141,60,8,26,Joe,Alexander,joe alexander,joe,alexander,FALSE
Kyle Alexander,0,0,0,0,0,0,2,0,0.5,0,0,0,2,0,13,2,0,2,3,0,0,Kyle,Alexander,kyle alexander,kyle,alexander,FALSE
Ty-Shon Alexander,6,0,8,9,2,0.22,12,3,0.25,2,0,0.5,15,0,47,2,2,9,10,0,3,Ty-Shon,Alexander,ty-shon alexander,ty-shon,alexander,FALSE
Victor Alexander,51,35,188,13,4,0.17,425,220,0.49,102,64,0.6,57,31,1151,89,143,508,277,27,76,Victor,Alexander,victor alexander,victor,alexander,FALSE
Nickeil Alexander-Walker,84,13,84,171,55,0.27,348,133,0.39,54,39,0.63,38,9,756,16,59,360,100,26,52,Nickeil,Alexander-Walker,nickeil alexander-walker,nickeil,alexander-walker,TRUE
Steve Alford,45,2,30,27,9,0.25,160,73,0.42,34,30,0.81,39,0,424,6,28,185,36,22,22,Steve,Alford,steve alford,steve,alford,FALSE
Rawle Alkins,13,0,15,12,3,0.25,39,13,0.33,12,8,0.67,10,0,120,11,7,37,26,0,8,Rawle,Alkins,rawle alkins,rawle,alkins,FALSE
Grayson Allen,58,7,87,183,72,0.37,287,124,0.4,56,47,0.83,39,21,852,13,54,366,100,22,32,Grayson,Allen,grayson allen,grayson,allen,TRUE
Jarrett Allen,72,70,310,14,3,0.15,371,231,0.62,190,133,0.72,51,40,1378,144,98,598,453,27,70,Jarrett,Allen,jarrett allen,jarrett,allen,TRUE
Jerome Allen,88,3,42,55,18,0.31,137,48,0.34,45,28,0.62,48,1,562,14,52,141,55,21,43,Jerome,Allen,jerome allen,jerome,allen,FALSE
Kadeem Allen,36,3,19,21,7,0.26,69,30,0.39,25,19,0.73,16,1,213,5,23,86,24,8,14,Kadeem,Allen,kadeem allen,kadeem,allen,FALSE
Lavoy Allen,57,31,165,4,1,0.04,257,120,0.47,41,28,0.68,57,11,997,104,104,269,269,18,38,Lavoy,Allen,lavoy allen,lavoy,allen,FALSE
Malik Allen,21,20,77,1,0,0.15,205,91,0.45,27,22,0.8,42,10,634,41,78,205,118,11,27,Malik,Allen,malik allen,malik,allen,FALSE
Randy Allen,12,10,46,4,0,0,129,57,0.43,22,12,0.52,35,3,394,26,54,126,72,8,15,Randy,Allen,randy allen,randy,allen,FALSE
Ray Allen,235,13,216,398,159,0.4,1016,458,0.45,263,236,0.9,69,61,2462,66,154,1311,283,78,145,Ray,Allen,ray allen,ray,allen,FALSE
Tony Allen,77,24,133,32,9,0.26,389,185,0.48,136,97,0.69,59,32,1290,73,139,475,206,83,80,Tony,Allen,tony allen,tony,allen,FALSE
Lance Allred,0,0,0,0,0,0,4,0,0.25,2,0,0.5,3,0,10,0,0,3,0,0,0,Lance,Allred,lance allred,lance,allred,FALSE
Darrell Allums,25,8,46,0,0,0,67,23,0.34,22,13,0.59,22,3,276,19,51,59,65,5,23,Darrell,Allums,darrell allums,darrell,allums,FALSE
Morris Almond,4,1,12,8,2,0.29,38,14,0.34,12,9,0.6,13,0,120,3,14,40,15,4,6,Morris,Almond,morris almond,morris,almond,FALSE
Derrick Alston,31,29,99,2,0,0.11,217,106,0.33,78,38,0.33,46,14,886,76,99,250,175,32,37,Derrick,Alston,derrick alston,derrick,alston,FALSE
Rafer Alston,252,8,130,221,78,0.34,510,195,0.37,102,75,0.72,53,38,1551,20,110,542,150,65,95,Rafer,Alston,rafer alston,rafer,alston,FALSE
Peter Aluma,0,0,0,0,0,0,2,0,0.5,0,0,0,2,0,5,0,4,2,2,0,2,Peter,Aluma,peter aluma,peter,aluma,FALSE
Jose Alvarado,80,4,41,59,18,0.33,155,70,0.47,28,18,0.59,28,1,444,12,38,175,54,36,22,Jose,Alvarado,jose alvarado,jose,alvarado,TRUE
John Amaechi,46,19,108,3,0,0.03,329,133,0.38,152,102,0.62,59,19,963,46,100,367,154,18,77,John,Amaechi,john amaechi,john,amaechi,FALSE
Ashraf Amaya,18,6,111,0,1,0.5,146,66,0.39,88,56,0.59,42,17,624,66,90,190,178,14,34,Ashraf,Amaya,ashraf amaya,ashraf,amaya,FALSE
Al-Farouq Aminu,70,31,260,129,42,0.28,365,153,0.39,96,71,0.75,56,35,1395,77,102,419,338,54,69,Al-Farouq,Aminu,al-farouq aminu,al-farouq,aminu,FALSE
Lou Amundson,15,20,62,0,0,0,92,43,0.37,40,17,0.34,29,4,373,44,57,103,105,11,21,Lou,Amundson,lou amundson,lou,amundson,FALSE
Chris Andersen,21,59,140,5,1,0.14,152,81,0.5,98,64,0.66,42,4,745,71,81,227,211,19,31,Chris,Andersen,chris andersen,chris,andersen,FALSE
David Andersen,18,8,70,31,11,0.34,146,65,0.46,28,18,0.7,36,0,409,24,50,159,94,6,20,David,Andersen,david andersen,david,andersen,FALSE
Alan Anderson,46,4,70,120,41,0.34,260,105,0.4,62,50,0.8,41,8,849,19,75,303,89,23,36,Alan,Anderson,alan anderson,alan,anderson,FALSE
Antonio Anderson,0,0,0,0,0,0,3,0,0.33,0,0,0,0,0,15,0,0,2,0,0,0,Antonio,Anderson,antonio anderson,antonio,anderson,FALSE
Derek Anderson,168,7,128,156,53,0.33,479,194,0.39,178,151,0.84,51,31,1463,35,102,593,164,55,85,Derek,Anderson,derek anderson,derek,anderson,FALSE
Dwight Anderson,3,0,2,0,0,0,14,7,0.5,10,7,0.7,5,0,33,0,7,21,2,0,5,Dwight,Anderson,dwight anderson,dwight,anderson,FALSE
Eric Anderson,2,0,10,0,0,0.5,18,6,0.34,14,8,0.6,14,0,42,6,12,21,16,2,4,Eric,Anderson,eric anderson,eric,anderson,FALSE
Greg Anderson,31,49,233,2,0,0.04,335,164,0.52,137,76,0.48,58,24,1151,118,145,403,351,40,78,Greg,Anderson,greg anderson,greg,anderson,FALSE
James Anderson,48,9,72,96,31,0.34,200,82,0.4,37,29,0.79,41,12,674,18,45,224,90,19,34,James,Anderson,james anderson,james,anderson,FALSE
Justin Anderson,28,11,70,80,23,0.28,164,68,0.4,43,33,0.75,33,5,482,21,42,192,91,15,22,Justin,Anderson,justin anderson,justin,anderson,FALSE
Kenny Anderson,292,6,110,92,32,0.31,527,221,0.42,157,124,0.74,50,38,1452,38,113,598,147,70,99,Kenny,Anderson,kenny anderson,kenny,anderson,FALSE
Kyle Anderson,130,33,206,71,24,0.28,307,146,0.41,81,58,0.73,56,28,1179,42,84,374,247,57,54,Kyle,Anderson,kyle anderson,kyle,anderson,TRUE
Michael Anderson,153,3,45,7,0,0.14,175,73,0.42,82,57,0.69,36,12,730,44,64,204,89,44,84,Michael,Anderson,michael anderson,michael,anderson,FALSE
Mitchell Anderson,35,12,86,3,0,0,207,99,0.44,85,48,0.5,44,1,634,61,81,246,147,34,42,Mitchell,Anderson,mitchell anderson,mitchell,anderson,FALSE
